Subject,Trial,QA TRs,Mean,SD,Min,1Q,2Q,3Q,Max,Outliers,Outliers %
DYN_001,hilo,424.0,34.30742146226415,1.159711541592894,31.0867,33.598125,34.19925,34.9404,40.9607,11.0,2.5943396226415096,
DYN_001,rest,494.0,33.78403643724696,1.592941622071203,29.1853,32.615625,33.79985,34.94,38.7272,1.0,0.20242914979757085,
DYN_001,task1,550.0,33.185404181818186,2.159734778048577,27.569000000000003,32.079625,33.2131,34.30755,45.1132,17.0,3.090909090909091,
DYN_001,task2,550.0,33.19567509090909,1.6008236287606585,29.7674,32.132575,33.0834,33.986075,41.849,15.0,2.727272727272727,
DYN_001,training,424.0,35.240563207547176,1.6500886070814342,32.2551,34.15435,35.08515,35.9902,43.0278,13.0,3.0660377358490565,
DYN_002,hilo,424.0,36.901045518867924,3.156031076774835,31.6036,35.348600000000005,36.55844999999999,37.817975000000004,63.7001,16.0,3.7735849056603774,
DYN_002,rest,494.0,35.00142044534413,4.443546645466103,25.8035,32.4077,34.84775,37.216375,84.2404,6.0,1.214574898785425,
DYN_002,task1,550.0,37.20468054545454,3.3938675056658107,31.747,35.137825,36.5948,38.452225,66.5359,22.0,4.0,
DYN_002,task2,550.0,41.666805272727274,3.3961926666847906,35.8273,39.660225,40.8343,42.88295,65.536,30.0,5.454545454545454,
DYN_002,training,424.0,39.7867945754717,37.23396862151465,32.5911,34.986200000000004,36.265299999999996,37.493175,538.7769999999999,17.0,4.009433962264151,
DYN_003,hilo,424.0,35.04800259433963,5.728794836605893,29.8781,32.57065,33.8731,35.75755,93.0699,19.0,4.481132075471698,
DYN_003,rest,494.0,37.31337145748988,2.0800788382856727,32.5841,35.968825,36.928,38.320125,46.3131,15.0,3.0364372469635628,
DYN_003,task1,550.0,39.00331854545455,8.615948524465024,30.6674,34.30135,36.345349999999996,39.934200000000004,100.624,53.0,9.636363636363637,
DYN_003,task2,550.0,37.410062909090904,9.644094908564396,29.1335,32.906825000000005,35.3287,38.4216,133.957,39.0,7.090909090909091,
DYN_003,training,424.0,34.37187216981132,5.333089273531811,26.8581,31.459725,33.366150000000005,35.776175,82.539,18.0,4.245283018867925,
DYN_004,hilo,424.0,39.44265731132076,2.516405784898902,32.742,37.94795,39.535250000000005,40.9156,51.0557,6.0,1.4150943396226414,
DYN_004,rest,494.0,39.0296536437247,2.7101819306642625,33.717,37.06945,38.754850000000005,40.529025000000004,50.0807,10.0,2.0242914979757085,
DYN_004,task1,550.0,40.844298,3.5747454963118965,35.6749,38.815525,40.31355,41.9204,80.4287,20.0,3.6363636363636362,
DYN_004,task2,550.0,42.81669218181818,13.43091027176725,32.6806,38.4298,40.34585,42.772775,177.685,30.0,5.454545454545454,
DYN_004,training,424.0,42.28371014150943,2.4876000552748203,37.0535,40.643675,41.9612,43.5113,52.0535,15.0,3.5377358490566038,
DYN_005,hilo,424.0,42.897233962264146,3.5520322855601703,35.7518,40.656825,42.3583,44.38845,62.4626,16.0,3.7735849056603774,
DYN_005,rest,494.0,41.27438299595142,4.701762962326904,33.129,38.287774999999996,40.7973,43.2559,67.1168,16.0,3.2388663967611335,
DYN_005,task1,550.0,43.86833327272728,8.02403579833786,31.4278,39.368075000000005,41.7538,45.861549999999994,91.0954,41.0,7.454545454545454,
DYN_005,task2,550.0,44.06301454545455,6.929827084255069,34.1959,39.59545,41.8883,46.291075000000006,75.9147,40.0,7.2727272727272725,
DYN_005,training,424.0,42.92046344339623,5.268128921503129,33.1746,39.506175,42.1094,45.07275,69.3436,19.0,4.481132075471698,
DYN_006,hilo,424.0,41.84939174528302,6.740225059171011,31.0114,37.111650000000004,39.79875,45.338800000000006,61.7447,14.0,3.30188679245283,
DYN_006,rest,494.0,41.59894170040486,4.963156045339232,30.05,38.39725,41.4786,44.36775,57.8778,9.0,1.8218623481781377,
DYN_006,task1,550.0,46.91959636363636,5.048114593866711,36.9555,42.848575,46.03245,50.295175,62.7869,1.0,0.18181818181818182,
DYN_006,task2,550.0,46.36708545454545,6.982173573141182,32.815,41.17205,45.524649999999994,51.461574999999996,67.9825,1.0,0.18181818181818182,
DYN_006,training,424.0,43.80652783018868,6.338270066464598,33.6925,39.147850000000005,42.1839,47.0433,75.4072,7.0,1.650943396226415,
DYN_007,hilo,424.0,41.53985966981133,5.203067456294662,30.877,38.612925000000004,40.626050000000006,43.895174999999995,77.7701,19.0,4.481132075471698,
DYN_007,rest,494.0,40.23105384615385,6.391727330301593,30.1679,37.177975,39.18875,41.69477500000001,94.0472,27.0,5.465587044534413,
DYN_007,task1,550.0,49.25671818181818,7.083434237429568,34.6792,44.5463,48.29585,52.54595,86.6092,21.0,3.8181818181818183,
DYN_007,task2,550.0,43.165291272727266,9.090038966059353,30.8887,36.702925,40.7766,47.167550000000006,81.2865,24.0,4.363636363636363,
DYN_007,training,424.0,41.6195016509434,7.89988824087224,25.6817,37.09065,39.54975,43.62285,87.9123,30.0,7.0754716981132075,
DYN_008,hilo,424.0,34.969495283018865,2.0134202403102965,30.066999999999997,33.487700000000004,35.11855,36.3887,40.1916,0.0,0.0,
DYN_008,rest,494.0,34.29218238866397,2.8218596363345214,28.7941,32.3726,33.988749999999996,35.866675,53.6074,4.0,0.8097165991902834,
DYN_008,task1,550.0,37.238963454545456,3.03520639501164,31.6535,35.588725,36.920500000000004,38.692975000000004,65.0736,5.0,0.9090909090909091,
DYN_008,task2,550.0,36.97582472727273,1.8517650657105482,32.2767,35.703475,36.766000000000005,38.0971,48.3163,5.0,0.9090909090909091,
DYN_008,training,424.0,35.30700023584905,2.281925760260998,29.6199,33.605149999999995,35.20075,36.9274,43.3543,1.0,0.2358490566037736,
DYN_009,hilo,424.0,35.42148655660377,1.2127188033557907,32.9964,34.565675,35.304950000000005,36.066424999999995,41.013999999999996,8.0,1.8867924528301887,
DYN_009,rest,494.0,35.07076497975709,1.433171631396199,31.8439,34.07005,35.0711,35.982125,42.9184,6.0,1.214574898785425,
