Subject,Trial,QA TRs,Mean,SD,Min,1Q,2Q,3Q,Max,Outliers,Outliers %
DYN_001,hilo,424.0,0.055305590801886795,0.022856691609390776,0.0106381,0.03726705,0.052809850000000005,0.0713232,0.128584,1.0,0.2358490566037736,
DYN_001,rest,494.0,0.06645983076923076,0.02472805430125931,0.0103841,0.046945799999999996,0.0646819,0.08229500000000001,0.148662,2.0,0.4048582995951417,
DYN_001,task1,550.0,0.04932471881818182,0.023944191691910918,0.00931075,0.03366859999999999,0.04556740000000001,0.0610652,0.184942,15.0,2.727272727272727,
DYN_001,task2,550.0,0.04467225572727273,0.018491346630152075,0.00455774,0.03194715000000001,0.043258200000000004,0.05562732499999999,0.18292,5.0,0.9090909090909091,
DYN_001,training,424.0,0.054024712334905654,0.02331381987777657,0.00522942,0.0367256,0.052800299999999994,0.070220975,0.14286600000000002,4.0,0.9433962264150944,
DYN_002,hilo,424.0,0.06356480094339623,0.050997690643379376,0.0060368,0.03542985,0.0534968,0.073077275,0.409098,27.0,6.367924528301887,
DYN_002,rest,494.0,0.0879282766194332,0.11514170794320616,0.00997085,0.044480549999999994,0.0638883,0.09359737500000001,1.27924,32.0,6.477732793522267,
DYN_002,task1,550.0,0.058773818454545455,0.05300690720670477,0.0048332,0.034917500000000004,0.047735650000000004,0.0683542,0.690552,32.0,5.818181818181818,
DYN_002,task2,550.0,0.059231914545454546,0.0471233146429742,0.00373669,0.034800075,0.049381049999999996,0.0699659,0.592214,28.0,5.090909090909091,
DYN_002,training,424.0,0.06685120764150944,0.06029265484899185,0.00581926,0.035167075,0.053742700000000004,0.07375164999999999,0.562918,28.0,6.60377358490566,
DYN_003,hilo,424.0,0.060754467688679245,0.0810912836904309,0.00365209,0.034139525000000004,0.048293749999999996,0.062343724999999996,0.975565,26.0,6.132075471698113,
DYN_003,rest,494.0,0.054482920040485834,0.029143566564923395,0.0117413,0.03679829999999999,0.0488262,0.063475525,0.22869899999999999,26.0,5.2631578947368425,
DYN_003,task1,550.0,0.09400438938181818,0.13532513214637298,0.00450406,0.03611135,0.05448825,0.08828685,1.36563,60.0,10.909090909090908,
DYN_003,task2,550.0,0.10966173645454547,0.29806911149400867,0.00765965,0.03723665,0.051333500000000004,0.079654,4.35265,56.0,10.181818181818182,
DYN_003,training,424.0,0.05850689386792453,0.06484214889218028,0.0060642,0.03154852500000001,0.04456425,0.061581025,0.629387,26.0,6.132075471698113,
DYN_004,hilo,424.0,0.06855168528301887,0.03486666711383188,0.00754426,0.047555575,0.06454884999999999,0.08229622499999999,0.441762,14.0,3.30188679245283,
DYN_004,rest,494.0,0.05860672882591093,0.03006984565314447,0.00389889,0.039847024999999994,0.05365589999999999,0.0700711,0.266396,21.0,4.251012145748988,
DYN_004,task1,550.0,0.0804889182,0.05427847493077002,0.00717381,0.051022200000000004,0.07193675,0.09819127500000002,0.69772,18.0,3.272727272727273,
DYN_004,task2,550.0,0.13994562636363636,0.4353026080001789,0.0149906,0.05312600000000001,0.075766,0.1072955,5.85692,38.0,6.909090909090909,
DYN_004,training,424.0,0.07426488136792453,0.03424664048700268,0.012324600000000002,0.050026274999999995,0.06797639999999999,0.093323125,0.25511300000000003,8.0,1.8867924528301887,
DYN_005,hilo,424.0,0.08196802476415094,0.05019325721847531,0.0066991,0.05066297499999999,0.0733337,0.10125125,0.5705180000000001,15.0,3.5377358490566038,
DYN_005,rest,494.0,0.07608635455465587,0.04077426024320581,0.00597785,0.050547949999999994,0.0680529,0.09047967500000001,0.352946,23.0,4.65587044534413,
DYN_005,task1,550.0,0.11829995909090908,0.10832693438257388,0.0141715,0.068419975,0.0983165,0.14069575,1.58819,28.0,5.090909090909091,
DYN_005,task2,550.0,0.11011729947272726,0.09042696824206924,0.00154378,0.0588161,0.08778585,0.12827525,1.00885,39.0,7.090909090909091,
DYN_005,training,424.0,0.09599232759433962,0.06606732721968817,0.012760899999999999,0.054583450000000006,0.0821249,0.11571024999999999,0.606192,21.0,4.952830188679245,
DYN_006,hilo,424.0,0.06952647301886793,0.03630921338641307,0.00726746,0.0442992,0.06099235,0.085690425,0.21945100000000003,16.0,3.7735849056603774,
DYN_006,rest,494.0,0.11712383178137652,0.06976365100482967,0.0159938,0.07004244999999999,0.1030055,0.13904899999999998,0.530777,35.0,7.08502024291498,
DYN_006,task1,550.0,0.11151936154545453,0.07407848201826112,0.00592075,0.060653874999999996,0.09317715,0.13710025,0.609212,34.0,6.181818181818182,
DYN_006,task2,550.0,0.11056068599999998,0.07557566130613265,0.016918400000000004,0.063934675,0.09508115,0.13395274999999998,0.6132380000000001,29.0,5.2727272727272725,
DYN_006,training,424.0,0.07318104853773585,0.05058107000898019,0.00788078,0.044836225,0.0618735,0.08797387499999999,0.655292,20.0,4.716981132075472,
DYN_007,hilo,424.0,0.09344373325471697,0.074293411578029,0.0125786,0.053634875000000005,0.07713305000000001,0.11142250000000001,1.00642,25.0,5.89622641509434,
DYN_007,rest,494.0,0.09658205668016195,0.129869378635902,0.014837799999999998,0.048122175,0.06810465,0.0918735,1.48881,43.0,8.704453441295547,
DYN_007,task1,550.0,0.11374762181818182,0.10417305595951386,0.0111568,0.06077605,0.0884498,0.12826025,1.30321,37.0,6.7272727272727275,
DYN_007,task2,550.0,0.142616598,0.14932809729711274,0.0192398,0.060757649999999996,0.100519,0.15984824999999997,1.24745,45.0,8.181818181818182,
DYN_007,training,424.0,0.13660903561320753,0.19105840668086851,0.020824400000000003,0.062922725,0.09416935,0.143601,2.08793,33.0,7.783018867924528,
DYN_008,hilo,424.0,0.07602346200471698,0.031983135407302604,0.00679719,0.05445355,0.07120504999999999,0.096845225,0.20561500000000002,4.0,0.9433962264150944,
DYN_008,rest,494.0,0.08568623643724697,0.0332851046113685,0.0177213,0.062964575,0.08398605,0.10480049999999999,0.267696,10.0,2.0242914979757085,
DYN_008,task1,550.0,0.07027794950909091,0.04420038683930362,0.00992343,0.0470023,0.06397665,0.08630875,0.5809810000000001,8.0,1.4545454545454546,
DYN_008,task2,550.0,0.07053686272727272,0.02940479268216313,0.010845700000000002,0.051021124999999994,0.06660005000000001,0.087367025,0.262465,7.0,1.2727272727272727,
DYN_008,training,424.0,0.0741934554245283,0.029481781958793356,0.017789799999999998,0.05220665,0.07069889999999998,0.094389475,0.182643,3.0,0.7075471698113207,
DYN_009,hilo,424.0,0.052876268490566036,0.02296522632608163,0.00845294,0.038593775000000004,0.0497514,0.063799325,0.230564,13.0,3.0660377358490565,
DYN_009,rest,494.0,0.06380976451417004,0.026182432080532187,0.00378475,0.0449316,0.06076315,0.07880670000000001,0.15506,8.0,1.6194331983805668,
DYN_009,task1,550.0,0.06664529236363637,0.04539757320599862,0.013240700000000001,0.042556425,0.0561069,0.075301425,0.45738500000000004,31.0,5.636363636363637,
DYN_009,task2,550.0,0.12143554652727273,0.19732480002170844,0.00988069,0.05033435000000001,0.0720056,0.10759025,2.36313,61.0,11.090909090909092,
DYN_009,training,424.0,0.07049516344339622,0.05251487493914555,0.017189199999999998,0.04485895000000001,0.0594011,0.07735095,0.46265,28.0,6.60377358490566,
DYN_010,hilo,424.0,0.06572732985849056,0.03008288736865566,0.00263607,0.043461675000000005,0.06482555,0.0844966,0.20157,4.0,0.9433962264150944,
DYN_010,rest,494.0,0.06933297415182187,0.030375860176936623,0.000544821,0.04474352499999999,0.066492,0.090040225,0.16965999999999998,2.0,0.4048582995951417,
DYN_010,task1,550.0,0.06498940605454545,0.028607552053485495,0.00424975,0.04403705,0.06355765,0.08281397500000001,0.167972,3.0,0.5454545454545454,
DYN_010,task2,550.0,0.06545821054545453,0.027768158305764304,0.009927600000000002,0.0451962,0.06505140000000001,0.08230045000000001,0.184837,6.0,1.0909090909090908,
